node	RT_K101E	sensitive
n71121	0.0005210454276504269	0.9994789545723495
n71126	0.00015541074679186056	0.9998445892532081
n71178	1.5857523113314778e-05	0.9999841424768866
25455	0.0	1.0
23660	0.0	1.0
n71186	5.706013027971293e-05	0.9999429398697203
71914	0.0	1.0
16505	0.0	1.0
29597	0.0	1.0
54028	0.0	1.0
1745	0.0	1.0
50070	0.0	1.0
n71331	0.00016100660524936397	0.9998389933947507
73259	0.0	1.0
79541	0.0	1.0
13287	0.0	1.0
3154	0.0	1.0
87690	0.0	1.0
n71353	1.637077866702958e-05	0.9999836292213329
26468	0.0	1.0
47265	0.0	1.0
n71370	0.00046805056961134585	0.9995319494303887
28702	0.0	1.0
31285	0.0	1.0
n71385	0.0006296341635791442	0.9993703658364209
n71390	0.0005055402376865052	0.9994944597623134
52232	0.0	1.0
n71408	0.0006379335735308004	0.9993620664264692
n71427	1.1731997235419178e-05	0.9999882680027646
86163	0.0	1.0
79934	0.0	1.0
290	0.0	1.0
86072	0.0	1.0
26160	0.0	1.0
64349	0.0	1.0
78599	0.0	1.0
47840	0.0	1.0
23036	0.0	1.0
84713	0.0	1.0
3227	0.0	1.0
46769	0.0	1.0
38727	0.0	1.0
n71499	1.0308246377411135e-07	0.9999998969175361
n71508	6.823998142308036e-05	0.9999317600185769
82531	0.0	1.0
38871	0.0	1.0
66387	0.0	1.0
n71563	1.845984836730337e-08	0.9999999815401517
47409	0.0	1.0
78773	0.0	1.0
13335	0.0	1.0
48415	0.0	1.0
41665	0.0	1.0
n71576	0.00012278099357479328	0.9998772190064252
26894	0.0	1.0
n71597	1.711465790932362e-07	0.9999998288534209
21929	0.0	1.0
48700	0.0	1.0
34069	0.0	1.0
68116	0.0	1.0
54260	0.0	1.0
n71693	0.00013495968960022974	0.9998650403103998
86706	0.0	1.0
35894	0.0	1.0
85999	0.0	1.0
58118	0.0	1.0
24720	0.0	1.0
n71702	2.830118848184713e-12	0.9999999999971698
33885	0.0	1.0
n71802	9.260198335120914e-05	0.9999073980166489
46896	0.0	1.0
3033	0.0	1.0
77059	0.0	1.0
n71816	0.0006343578636027785	0.9993656421363972
n71825	0.0006041286796430221	0.999395871320357
n71828	0.0005824369690208302	0.9994175630309792
n71831	7.654130222308461e-08	0.9999999234586978
45877	0.0	1.0
57791	0.0	1.0
43388	0.0	1.0
36905	0.0	1.0
38813	0.0	1.0
53927	0.0	1.0
80704	0.0	1.0
40490	0.0	1.0
n71091	0.0008979573156851601	0.9991020426843149
48817	0.0	1.0
n71096	0.00044656212701893303	0.9995534378729811
29577	0.0	1.0
n71100	0.0003229819539244854	0.9996770180460756
78592	0.0	1.0
n71123	2.982527168900859e-07	0.9999997017472831
n71127	0.00015550391683174955	0.9998444960831683
86691	0.0	1.0
43245	0.0	1.0
75600	0.0	1.0
32865	0.0	1.0
54576	0.0	1.0
14748	0.0	1.0
26844	0.0	1.0
58369	0.0	1.0
8322	0.0	1.0
72716	0.0	1.0
26005	0.0	1.0
21782	0.0	1.0
69115	0.0	1.0
39515	0.0	1.0
n71371	0.0004440127864442775	0.9995559872135558
n71374	0.0006724625687415573	0.9993275374312584
36381	0.0	1.0
9239	0.0	1.0
52601	0.0	1.0
n71391	0.0007743299582354457	0.9992256700417645
n71401	0.0008645611569991823	0.9991354388430008
26307	0.0	1.0
2022	0.0	1.0
n71411	0.0006382205112880537	0.9993617794887119
54332	0.0	1.0
1414	0.0	1.0
36167	0.0	1.0
34384	0.0	1.0
49174	0.0	1.0
52667	0.0	1.0
n71510	5.67133919180321e-06	0.9999943286608082
82457	0.0	1.0
16753	0.0	1.0
27405	0.0	1.0
n71578	0.0003986616437403316	0.9996013383562597
81903	0.0	1.0
75602	0.0	1.0
3981	0.0	1.0
76487	0.0	1.0
n71703	4.350208703611545e-12	0.9999999999956498
41888	0.0	1.0
57145	0.0	1.0
n71803	0.001030417308440178	0.9989695826915599
60787	0.0	1.0
4096	0.0	1.0
n71818	8.467376244810849e-09	0.9999999915326236
85583	0.0	1.0
86853	0.0	1.0
30866	0.0	1.0
53151	0.0	1.0
50103	0.0	1.0
56117	0.0	1.0
n71834	0.00014672602720946137	0.9998532739727906
44362	0.0	1.0
49917	0.0	1.0
85442	0.0	1.0
21369	0.0	1.0
52550	0.0	1.0
n71102	0.000977609858974687	0.9990223901410253
46035	0.0	1.0
44308	0.0	1.0
30428	0.0	1.0
n71129	9.740103978845462e-05	0.9999025989602115
37229	0.0	1.0
38950	0.0	1.0
18188	0.0	1.0
n71376	0.0005964586181575966	0.9994035413818424
n71392	0.0007749471506771035	0.999225052849323
47036	0.0	1.0
20721	0.0	1.0
86393	0.0	1.0
n71412	4.982236800719797e-10	0.9999999995017763
29667	0.0	1.0
56604	0.0	1.0
73364	0.0	1.0
37290	0.0	1.0
87189	0.0	1.0
43999	0.0	1.0
n71704	9.84944454346318e-10	0.9999999990150555
39791	0.0	1.0
n71742	0.00027563237876023416	0.9997243676212398
16591	0.0	1.0
75446	0.0	1.0
79261	0.0	1.0
33306	0.0	1.0
n71749	6.549473496614248e-05	0.9999345052650339
51993	0.0	1.0
n71805	0.0012451686796701262	0.9987548313203298
46099	0.0	1.0
84730	0.0	1.0
27476	0.0	1.0
n71836	0.00014704870361238192	0.9998529512963876
10426	0.0	1.0
n71104	0.0009778441567203958	0.9990221558432796
47482	0.0	1.0
n71131	9.009733769007306e-05	0.99990990266231
14968	0.0	1.0
8157	0.0	1.0
3738	0.0	1.0
n71394	1.3617710492755165e-05	0.9999863822895073
n71413	2.5373253705225318e-05	0.9999746267462948
26908	0.0	1.0
42722	0.0	1.0
1963	0.0	1.0
84965	0.0	1.0
n71705	1.3585795761168295e-05	0.9999864142042388
n71715	7.937949059013874e-09	0.9999999920620509
36845	0.0	1.0
63194	0.0	1.0
41337	0.0	1.0
n71751	6.133218932006182e-08	0.9999999386678107
87302	0.0	1.0
34415	0.0	1.0
n71837	6.214467822117243e-05	0.9999378553217788
n71842	0.0007235605864575748	0.9992764394135425
21408	0.0	1.0
67375	0.0	1.0
43060	0.0	1.0
n71133	8.000198751706072e-09	0.9999999919998013
75957	0.0	1.0
20767	0.0	1.0
n71397	1.3619304298069669e-05	0.9999863806957019
83053	0.0	1.0
n71415	2.5378561988040688e-05	0.999974621438012
56665	0.0	1.0
73536	0.0	1.0
n71708	1.3727663292542538e-05	0.9999862723367076
69176	0.0	1.0
5513	0.0	1.0
n71716	9.001956474263699e-17	0.9999999999999999
n71723	2.3673534858388517e-08	0.9999999763264652
16260	0.0	1.0
n71753	2.724412090129341e-08	0.999999972755879
66909	0.0	1.0
n71839	6.2153944747272034e-09	0.9999999937846056
n71843	6.943275442325362e-11	0.9999999999305672
n71846	0.0007234558631746685	0.9992765441368253
70443	0.0	1.0
n71135	1.4367993328898732e-08	0.9999999856320068
35668	0.0	1.0
77172	0.0	1.0
n71144	1.0353334604538695e-08	0.9999999896466654
1612	0.0	1.0
24407	0.0	1.0
n71416	6.779787879532739e-05	0.9999322021212047
35912	0.0	1.0
74183	0.0	1.0
n71710	0.00026387522412445527	0.9997361247758755
52832	0.0	1.0
52868	0.0	1.0
32908	0.0	1.0
27770	0.0	1.0
72470	0.0	1.0
14642	0.0	1.0
n71724	5.02912774056535e-08	0.9999999497087226
11628	0.0	1.0
n71754	1.5891185768346507e-08	0.9999999841088143
77816	0.0	1.0
84812	0.0	1.0
7552	0.0	1.0
55176	0.0	1.0
54157	0.0	1.0
48993	0.0	1.0
n71848	0.00027895588685723115	0.9997210441131428
n71136	1.0938194120532783e-07	0.9999998906180587
11266	0.0	1.0
52688	0.0	1.0
31484	0.0	1.0
n71145	3.639344106818284e-08	0.999999963606559
n71148	3.874339414379591e-06	0.9999961256605857
n71161	7.462281089671509e-08	0.9999999253771891
41210	0.0	1.0
n71418	0.00020644110801553244	0.9997935588919845
4578	0.0	1.0
31580	0.0	1.0
n71725	2.6183506650594227e-07	0.9999997381649335
n71732	1.862614956209345e-07	0.9999998137385044
2321	0.0	1.0
n71755	1.6757453214271855e-08	0.9999999832425468
81231	0.0	1.0
n71761	7.104650788186884e-06	0.9999928953492119
59634	0.0	1.0
n71850	0.00027877076326407273	0.999721229236736
60444	0.0	1.0
60899	0.0	1.0
26671	0.0	1.0
60059	0.0	1.0
n71149	3.963373332396361e-06	0.9999960366266676
n71153	0.0004499343151119462	0.999550065684888
n71158	7.159727425742261e-05	0.9999284027257426
51823	0.0	1.0
13671	0.0	1.0
72893	0.0	1.0
45650	0.0	1.0
26520	0.0	1.0
n71727	5.963506104409988e-07	0.9999994036493896
n71733	4.20660713467151e-07	0.9999995793392865
n71736	1.7275109632452158e-08	0.9999999827248903
16711	0.0	1.0
37241	0.0	1.0
33380	0.0	1.0
24773	0.0	1.0
10675	0.0	1.0
59714	0.0	1.0
n71851	1.1608004111960779e-08	0.9999999883919959
n71854	0.000278680685581132	0.9997213193144189
79916	0.0	1.0
60466	0.0	1.0
68196	0.0	1.0
n71154	0.0006881659342062482	0.9993118340657938
14019	0.0	1.0
61636	0.0	1.0
81072	0.0	1.0
4661	0.0	1.0
n71729	3.243903978828225e-08	0.9999999675609602
33605	0.0	1.0
7621	0.0	1.0
27973	0.0	1.0
9107	0.0	1.0
85684	0.0	1.0
58806	0.0	1.0
33745	0.0	1.0
86876	0.0	1.0
83371	0.0	1.0
2951	0.0	1.0
31637	0.0	1.0
76813	0.0	1.0
69866	0.0	1.0
sensitive	0.0	1.0
n70985	0.000428022547952193	0.9995719774520478
n70986	0.00029199694237488086	0.9997080030576251
n70994	0.0008893316598624571	0.9991106683401375
n71045	0.0007209414142503075	0.9992790585857497
n70987	0.00016413279336698633	0.999835867206633
n70991	0.0006180354617137599	0.9993819645382862
19325	0.0	1.0
n70996	1.2130320854757217e-09	0.999999998786968
1030	0.0	1.0
67303	0.0	1.0
16406	0.0	1.0
49651	0.0	1.0
24186	0.0	1.0
8631	0.0	1.0
40683	0.0	1.0
n70997	1.2551142705558305e-07	0.999999874488573
78509	0.0	1.0
41597	0.0	1.0
n71002	0.00013579414902300157	0.9998642058509769
n71008	1.7313753355938818e-07	0.9999998268624665
30942	0.0	1.0
5613	0.0	1.0
n71013	3.478089183510612e-09	0.9999999965219107
21182	0.0	1.0
80838	0.0	1.0
15211	0.0	1.0
n71004	4.200249559308759e-05	0.999957997504407
35911	0.0	1.0
67785	0.0	1.0
77393	0.0	1.0
56861	0.0	1.0
n71015	3.2212213007848213e-07	0.9999996778778699
5272	0.0	1.0
n71021	2.3902263239338534e-07	0.9999997609773676
n71035	6.617183683988082e-06	0.999993382816316
24641	0.0	1.0
48390	0.0	1.0
58577	0.0	1.0
n71017	8.116744065701197e-07	0.9999991883255934
30192	0.0	1.0
n71023	0.0008222240218313022	0.9991777759781687
n71036	1.4237639749132426e-08	0.9999999857623603
35340	0.0	1.0
n71042	6.932858026119691e-06	0.9999930671419739
63220	0.0	1.0
60204	0.0	1.0
n71024	0.00020976016920020525	0.9997902398307998
n71030	0.0009967075859512206	0.9990032924140487
34885	0.0	1.0
1413	0.0	1.0
19227	0.0	1.0
86541	0.0	1.0
3267	0.0	1.0
1099	0.0	1.0
63991	0.0	1.0
n71026	7.187736369041598e-09	0.9999999928122637
38224	0.0	1.0
35421	0.0	1.0
n71032	0.00023347999468142474	0.9997665200053186
22404	0.0	1.0
48226	0.0	1.0
45433	0.0	1.0
47251	0.0	1.0
sensitive	0.0	1.0
n70966	0.0005725695098097723	0.9994274304901902
n70967	8.313350499494022e-08	0.999999916866495
59805	0.0	1.0
71762	0.0	1.0
49347	0.0	1.0
n70970	5.745340067539061e-05	0.9999425465993246
n70980	0.00034986087348944	0.9996501391265105
n70971	0.0006155324855030874	0.9993844675144968
n70974	0.00033546319258468375	0.9996645368074154
50513	0.0	1.0
54294	0.0	1.0
