node	RT_T215D	RT_T215F	RT_T215S	RT_T215Y	sensitive
n71227	1.0772279052223164e-05	1.7976036490391965e-05	1.0219470889467406e-05	6.060209584375333e-05	0.9999004301177242
78768	0.0	0.0	0.0	0.0	1.0
12098	0.0	0.0	0.0	0.0	1.0
n71245	1.6745498704695534e-06	2.7943733568923363e-06	1.5841829010443565e-06	9.420590689618005e-06	0.999984526303182
40782	0.0	0.0	0.0	0.0	1.0
45997	0.0	0.0	0.0	0.0	1.0
n71277	6.639407289153559e-13	1.1079385070308544e-12	6.270667979358666e-13	3.735161286969815e-12	0.9999999999938658
35523	0.0	0.0	0.0	0.0	1.0
n71284	0.00011367469016847368	0.00018969248462615408	0.00010736143358373993	0.0006395048285698729	0.9989497665630518
n71289	1.7802279488241612e-08	2.9707216471220514e-08	1.6836449656823732e-08	1.0015108618645096e-07	0.9999998355029681
45896	0.0	0.0	1.0	0.0	0.0
58910	0.0	0.0	0.0	0.0	1.0
69583	0.0	0.0	1.0	0.0	0.0
19365	0.0	0.0	1.0	0.0	0.0
n70885	5.02243977804873e-13	8.381101184188831e-13	0.999999999901055	2.8254965854785665e-12	9.477902900893039e-11
n70890	3.885953564987181e-09	6.484611357126139e-09	0.9999992344453591	2.1861384136825407e-08	7.333226916388584e-07
76429	0.0	0.0	1.0	0.0	0.0
34594	0.0012938319234639523	0.002159057498962775	0.7451078566107227	0.007278768573609155	0.2441604853932414
n70901	3.711337444255644e-11	6.193224015333039e-11	0.9999999926884572	2.0879038355293403e-10	7.00370686032788e-09
n70915	1.3315884000507556e-13	2.2220629036299455e-13	0.999999999973767	7.491176885883952e-13	2.5128555278645545e-11
79599	0.0	0.0	1.0	0.0	0.0
42218	0.0	0.0	1.0	0.0	0.0
6656	0.0	0.0	0.0	0.0	1.0
35445	0.0	0.0	0.0	0.0	1.0
12359	0.0	0.0	0.0	0.0	1.0
n70976	1.057647302096417e-05	1.7649288887040188e-05	9.989077248958656e-06	5.9500541027394065e-05	0.9999022846198156
21182	0.0	0.0	0.0	0.0	1.0
80838	0.0	0.0	0.0	0.0	1.0
15211	0.0	0.0	0.0	0.0	1.0
n71004	1.3472369369734045e-06	2.2481761030169154e-06	1.2724140806270686e-06	7.579211565435366e-06	0.999987552961314
35911	0.0	0.0	0.0	0.0	1.0
67785	0.0	0.0	0.0	0.0	1.0
77393	0.0	0.0	0.0	0.0	1.0
56861	0.0	0.0	0.0	0.0	1.0
n71015	1.0440713684309529e-08	1.7422743067183097e-08	9.860857239828891e-09	5.8736793607582194e-08	0.9999999035388925
5272	0.0	0.0	0.0	0.0	1.0
n71021	7.665219432683794e-09	1.2791189641559514e-08	7.239508411313344e-09	4.3122570485865315e-08	0.9999999291815121
n71035	6.755250259021141e-08	1.1272695830584963e-07	6.380077113272017e-08	3.800331588711036e-07	0.9999993758866091
n71052	2.3759387556273867e-07	3.964802764859645e-07	6.639075880192092e-07	1.3366425757203346e-06	0.9999973653756843
5844	0.0	0.0	0.0	0.0	1.0
705	0.0	0.0	0.0	0.0	1.0
n71221	0.00012200306872990177	0.00020359030849427341	0.00011523490422136108	0.0006863581632593935	0.9988728135552951
n71228	0.00022282902991155437	0.0003718417201587513	0.0002104665349876926	0.0012535793179887672	0.9979412833969532
38317	0.0	0.0	0.0	0.0	1.0
n71234	1.0809922691921597e-05	1.8038853600640386e-05	1.0255015441574652e-05	6.0813869364458917e-05	0.9999000823389014
n71246	6.433898787893656e-08	1.0736446654043568e-07	6.076791767855524e-08	3.619547443049865e-07	0.9999994055738836
n71251	2.3678667250213902e-05	3.9513327167833596e-05	2.236372469899394e-05	0.00013321014570762149	0.9997812341351754
n71258	7.499085816222972e-06	1.2513957317990605e-05	7.084428563943307e-06	4.218794511097306e-05	0.9999307145831909
56977	0.0	0.0	0.0	0.0	1.0
26356	0.0	0.0	0.0	0.0	1.0
82651	0.0	0.0	0.0	0.0	1.0
58896	0.0	0.0	0.0	0.0	1.0
59831	0.0	0.0	0.0	0.0	1.0
62538	0.0	0.0	0.0	0.0	1.0
n71286	0.0001728341056791114	0.0002884136379507155	0.00016323524574555928	0.0009723206191240724	0.9984031963915007
86726	0.0	0.0	0.0	0.0	1.0
n71291	4.4910077974094905e-06	7.494284139270124e-06	4.241592679653992e-06	2.5265265006060593e-05	0.9999585078503777
73738	0.0	0.0	1.0	0.0	0.0
n70887	1.8697371695165268e-09	3.1200884625927702e-09	0.999999631651294	1.0518664676281657e-08	3.528402156322737e-07
70947	0.0	0.0	1.0	0.0	0.0
n70892	2.452310858492171e-13	4.0922472639568305e-13	0.9999999999516881	1.3796075738898413e-12	4.627783552762578e-11
27813	0.0	0.0	1.0	0.0	0.0
n70903	6.650016784441609e-10	1.1097089464477878e-09	0.9999998689909407	3.741129918558203e-09	1.254932187494215e-07
4384	0.0	0.0	1.0	0.0	0.0
n70917	5.880566037684728e-16	9.813083115013093e-16	0.9999999999998843	3.3082565435189062e-15	1.1097282669483588e-13
57175	0.0	0.0	0.0	0.0	1.0
10593	0.0	0.0	0.0	0.0	1.0
24641	0.0	0.0	0.0	0.0	1.0
48390	0.0	0.0	0.0	0.0	1.0
58577	0.0	0.0	0.0	0.0	1.0
n71017	4.834104179823336e-08	8.066819724367125e-08	4.5656276611926125e-08	2.7195437790286586e-07	0.9999995533801065
30192	0.0	0.0	0.0	0.0	1.0
n71023	4.163801787213328e-05	6.94826531162493e-05	3.932552528505222e-05	0.00023424487405106448	0.9996153089296755
n71036	7.283635072978956e-11	1.2154427973860107e-10	6.879116486984013e-11	4.0975874152879274e-10	0.9999999993270695
35340	0.0	0.0	0.0	0.0	1.0
n71042	8.512559849426412e-08	1.4205172901490543e-07	8.039789228852741e-08	4.788949166371249e-07	0.9999992135298635
n71053	2.4946044130352585e-05	4.162823831467678e-05	2.3572660292588446e-05	0.00014034008495148747	0.9997695129723109
n71167	2.2386010802836458e-05	3.7356231222310185e-05	2.1223714892545227e-05	0.00012593799006281885	0.9997930960530195
n71222	1.526242103022066e-08	2.5468875809929087e-08	1.4415275247970098e-08	8.586248997051953e-08	0.999999858990938
5117	0.0	0.0	0.0	0.0	1.0
71625	0.0	0.0	0.0	0.0	1.0
n71230	0.00019162107834632506	0.00031976404250045026	0.00018097943075611863	0.0010780113381142651	0.9982296241102829
81349	0.0	0.0	0.0	0.0	1.0
n71236	0.0001216128728546674	0.00020293917652325694	0.0001148827620178262	0.0006841630207353135	0.998876402167869
30093	0.0	0.0	0.0	0.0	1.0
n71248	2.9057818638277206e-10	4.848968409011483e-10	2.7444924205625995e-10	1.6347188014627715e-09	0.9999999973153568
n71252	1.9558467365603116e-05	3.2637821704745275e-05	1.8472323133596085e-05	0.00011003095149141955	0.9998193004363046
19754	0.0	0.0	0.0	0.0	1.0
n71259	4.1894335791034066e-05	6.99103787851597e-05	3.956774912360798e-05	0.0002356868533214113	0.9996129406829789
n71264	2.3947315659215583e-05	3.9961629108387515e-05	2.2617549397802704e-05	0.00013472149317194764	0.9997787520126626
13095	0.0	0.0	0.0	0.0	1.0
69304	0.0	0.0	0.0	0.0	1.0
n71292	2.8870442562652967e-06	4.8177003815447e-06	2.7267039814587065e-06	1.6241775011132763e-05	0.9999733267763695
n71298	8.605440765635056e-30	1.4360166169946865e-29	8.127511899501949e-30	4.8412016020800036e-29	1.0
62696	0.0	0.0	1.0	0.0	0.0
45017	0.0	0.0	1.0	0.0	0.0
57262	0.0	0.0	1.0	0.0	0.0
8348	0.0	0.0	1.0	0.0	0.0
79291	0.0	0.0	1.0	0.0	0.0
n70905	8.131207148178299e-16	1.3568797809449935e-15	0.99999999999984	4.574409858214867e-15	1.534449296023666e-13
n70918	1.8141353163847481e-09	3.0273039240578174e-09	0.9999996426051708	1.0205862824765665e-08	3.4234752705099913e-07
n70923	1.5414491040200378e-10	2.572263975674455e-10	0.9999999696325884	8.671799708048893e-10	2.9088860355129067e-08
n70926	1.9392005899778024e-10	3.2360042288763805e-10	0.9999999617966611	1.0909448171958033e-09	3.659487362595068e-08
63220	0.0	0.0	0.0	0.0	1.0
60204	0.0	0.0	0.0	0.0	1.0
n71024	3.5508540541386734e-06	5.925420399880922e-06	3.353646691789709e-06	1.9976199713437767e-05	0.9999671938791408
n71030	5.174530977199836e-05	8.634900490032427e-05	4.8871478322301906e-05	0.0002911059216963168	0.9995219282853091
34885	0.0	0.0	0.0	0.0	1.0
1413	0.0	0.0	0.0	0.0	1.0
19227	0.0	0.0	0.0	0.0	1.0
86541	0.0	0.0	0.0	0.0	1.0
3267	0.0	0.0	0.0	0.0	1.0
1099	0.0	0.0	0.0	0.0	1.0
n71054	1.2372988798883106e-05	2.0647190540244282e-05	1.1688100374916936e-05	6.960728082038053e-05	0.9998856844394655
n71063	8.232067048885349e-07	1.373710585705413e-06	7.77546737451032e-07	4.6311510671996155e-06	0.9999923943849048
n71168	2.0778501379352942e-05	3.467373034063974e-05	1.965912590140931e-05	0.00011689455183777774	0.9998079940905408
n71201	9.539615982205584e-08	1.5919053356222083e-07	9.01048417351054e-08	5.366744764627244e-07	0.9999991186339884
49358	0.0	0.0	0.0	0.0	1.0
23211	0.0	0.0	0.0	0.0	1.0
11248	0.0	0.0	0.0	0.0	1.0
51201	0.0	0.0	0.0	0.0	1.0
n71237	0.0004722281596481582	0.0007880217907903186	0.0004460062209465402	0.0026566352442578805	0.9956371085843571
56457	0.0	0.0	0.0	0.0	1.0
68228	0.0	0.0	0.0	0.0	1.0
71636	0.0	0.0	0.0	0.0	1.0
67893	0.0	0.0	0.0	0.0	1.0
n71254	4.4034694503582586e-05	7.348206181832064e-05	4.158911847315589e-05	0.00024772796581107597	0.9995931661593938
38672	0.0	0.0	0.0	0.0	1.0
n71261	2.55443150820107e-09	4.262659162561597e-09	2.4125660894337827e-09	1.4370580481235908e-08	0.9999999763997628
20390	0.0	0.0	0.0	0.0	1.0
84567	0.0	0.0	0.0	0.0	1.0
n71267	3.2878476436348196e-09	5.486533437381693e-09	3.105248163183977e-09	1.849659269438392e-08	0.999999969623778
35871	0.0	0.0	0.0	0.0	1.0
n71294	2.9207137089839376e-06	4.873885642597411e-06	2.758503499740302e-06	1.6431190769002557e-05	0.9999730157063796
63375	0.0	0.0	0.0	0.0	1.0
80120	0.0	0.0	0.0	0.0	1.0
38124	0.0	0.0	0.0	0.0	1.0
61100	0.0	0.0	0.0	0.0	1.0
n71302	3.3287848308455427e-09	5.554846592615274e-09	3.1439107508891563e-09	1.87268948737919e-08	0.999999969245563
n71310	4.062331455204828e-38	6.778938618356567e-38	4.033596331212751e-38	2.285364118437027e-37	1.0
5391	0.0	0.0	0.0	0.0	1.0
6385	0.0	0.0	0.0	0.0	1.0
n71531	7.42679058055505e-09	1.2393316013755192e-08	7.014321422775298e-09	4.1781230544839546e-08	0.9999999313843414
n71540	5.8811143801864755e-06	9.813998151169588e-06	5.554489000233914e-06	3.308565027031879e-05	0.9999456647481981
77093	0.0	0.0	0.0	0.0	1.0
10799	0.0	0.0	0.0	0.0	1.0
n71545	7.305700382650647e-07	1.2191249041148393e-06	6.899956333301417e-07	4.110000796013244e-06	0.9999932503086284
n71604	2.449300680473639e-06	4.087224086443383e-06	2.3132713986638872e-06	1.3779141244730424e-05	0.9999773710625897
n71617	0.00014578477241795177	0.0002432755757647912	0.00013768817650022344	0.0008201479656999007	0.9986531035096171
65897	0.0	0.0	0.0	0.0	1.0
n71621	3.952924808132562e-08	6.59636834975063e-08	3.733387236863753e-08	2.2238147278236423e-07	0.9999996347917233
n71631	2.032801688393588e-06	3.3921992877405198e-06	1.9199039311119634e-06	1.1436024090551912e-05	0.9999812190710022
33225	0.0	0.0	0.0	0.0	1.0
60991	0.0	0.0	0.0	0.0	1.0
71945	0.0	0.0	0.0	0.0	1.0
n71643	8.016086611871277e-07	1.337669259648468e-06	7.570889126143737e-07	4.5096459791783276e-06	0.9999925939871874
n71647	1.5794883069081e-14	2.635741174498051e-14	1.4917666720232965e-14	8.885798566421076e-14	0.999999999999854
5952	0.0	0.0	0.0	0.0	1.0
64915	0.0	0.0	0.0	0.0	1.0
n71769	1.399837425883246e-06	2.335952171894432e-06	1.3220932431410572e-06	7.87512850695617e-06	0.9999870669886521
38650	0.0	0.0	0.0	0.0	1.0
n71783	4.98683861387071e-09	8.321692416251981e-09	4.709879528955585e-09	2.80546827806835e-08	0.9999999539269067
70184	0.0	0.0	1.0	0.0	0.0
n70907	1.3088622797359904e-13	2.184139121106047e-13	0.9999999999742146	7.363325526408834e-13	2.4699688092225957e-11
40526	0.0	0.0	1.0	0.0	0.0
68015	0.0	0.0	1.0	0.0	0.0
n70920	3.8492344693929175e-09	6.423337062327726e-09	0.9999992416792272	2.1654811865562134e-08	7.26393389585858e-07
77929	0.0	0.0	1.0	0.0	0.0
56495	0.0	0.0	1.0	0.0	0.0
n70927	3.4260691027608254e-09	5.7171878774457505e-09	0.999999325045177	1.9274191387567504e-08	6.465373747165671e-07
n70930	8.732898175143436e-18	1.4572858306233532e-17	0.9999999999999983	4.912905891484096e-17	1.6479950901382832e-15
63991	0.0	0.0	0.0	0.0	1.0
n71026	2.1723922266290778e-10	3.6251383526189737e-10	2.0517418888598921e-10	1.2221324873795401e-09	0.9999999979929403
38224	0.0	0.0	0.0	0.0	1.0
35421	0.0	0.0	0.0	0.0	1.0
n71032	7.825578999766765e-06	1.3058786629670592e-05	7.39096192740393e-06	4.402471253089704e-05	0.9999276999599123
n71055	1.2367478361063709e-05	2.0637995101578123e-05	1.1682893640888276e-05	6.957628050194716e-05	0.9998857353523944
75826	0.0	0.0	0.0	0.0	1.0
n71064	2.882323755031688e-05	4.8098231345835954e-05	2.7222469984914967e-05	0.0001621521867455785	0.9997337038743732
n71067	3.2238345913947725e-09	5.379712869760862e-09	3.04479081459385e-09	1.8136471580894757e-08	0.9999999702151902
11700	0.0	0.0	0.0	0.0	1.0
n71169	3.136193880049515e-05	5.233464093847365e-05	2.9643435768521396e-05	0.00017643427280518613	0.9997102257116873
n71193	0.00018061746895299273	0.0003014019778879725	0.00017059755519736178	0.0010161078367429066	0.9983312751612188
13577	0.0	0.0	0.0	0.0	1.0
n71203	7.217106522898735e-08	1.204340971689729e-07	6.816796680294708e-08	4.060160148980011e-07	0.999999333210856
59894	0.0	0.0	0.0	0.0	1.0
13871	0.0	0.0	0.0	0.0	1.0
20796	0.0	0.0	0.0	0.0	1.0
5650	0.0	0.0	0.0	0.0	1.0
87269	0.0	0.0	0.0	0.0	1.0
62381	0.0	0.0	0.0	0.0	1.0
77832	0.0	0.0	0.0	0.0	1.0
n71269	1.8142375417564706e-09	3.027474510709297e-09	1.7134784018949143e-09	1.0206437918647354e-08	0.9999999832383716
67135	0.0	0.0	0.0	0.0	1.0
81003	0.0	0.0	0.0	0.0	1.0
75085	0.0	0.0	0.0	0.0	1.0
n71303	9.072926767267168e-05	0.00015140274574430872	8.569034484093032e-05	0.0005104197309294594	0.9991617579108125
n71306	2.4612558507998644e-10	4.1071740503267195e-10	2.3245626026398986e-10	1.3846397985335258e-09	0.999999997726061
84797	0.0	0.0	0.0	0.0	1.0
n71311	4.01838278903283e-08	6.705600114685995e-08	3.795209811869773e-08	2.2606397192022118e-07	0.9999996287441009
n71326	2.7526944087620603e-12	4.593506619993531e-12	2.5998152435167326e-12	1.548595701797518e-11	0.9999999999745681
57710	0.0	0.0	0.0	0.0	1.0
15654	0.0	0.0	0.0	0.0	1.0
12938	0.0	0.0	0.0	0.0	1.0
n71364	2.405978999440407e-13	4.0149318523392373e-13	2.2723557175165501e-13	1.353542451093985e-12	0.9999999999977772
36682	0.0	0.0	0.0	0.0	1.0
n71447	1.1254808096054882e-09	1.8781247686420425e-09	1.0629738469275998e-09	6.331668123649338e-09	0.9999999896017524
40140	0.0	0.0	0.0	0.0	1.0
21620	0.0	0.0	0.0	0.0	1.0
21911	0.0	0.0	0.0	0.0	1.0
87908	0.0	0.0	0.0	0.0	1.0
1814	0.0	0.0	0.0	0.0	1.0
n71455	2.4462599662878114e-09	4.082149952279544e-09	2.3103995596881077e-09	1.3762034961869605e-08	0.9999999773991555
31678	0.0	0.0	0.0	0.0	1.0
n71459	3.9306769250268505e-06	6.5592426165048226e-06	3.7123749568772437e-06	2.2112986359385673e-05	0.9999636847191421
n71464	2.706066065017344e-07	4.515696455164151e-07	2.5557765451194166e-07	1.5223637842714899e-06	0.9999974998823091
n71477	3.5233430754011238e-06	5.8795119755563085e-06	3.3276636180208665e-06	1.9821429960247573e-05	0.9999674480513708
n71483	3.3642798570828095e-09	5.614078244875232e-09	1.4301832203959832e-06	1.8926580842896402e-08	0.9999985419118407
59017	0.0	0.0	0.0	0.0	1.0
n71488	3.6101060742907637e-06	6.024296085445676e-06	3.409607972747824e-06	2.0309536474097704e-05	0.9999666464533935
n71503	2.3135475927075904e-09	3.8606886943006915e-09	2.185057767028925e-09	1.3015428979572782e-08	0.9999999786252769
n71517	1.0086109677538931e-13	1.683100435205652e-13	9.525947233365398e-14	5.674188186228576e-13	0.9999999999990681
37235	0.0	0.0	0.0	0.0	1.0
48872	0.0	0.0	0.0	0.0	1.0
6851	0.0	0.0	0.0	0.0	1.0
71648	0.0	0.0	0.0	0.0	1.0
n71532	2.1168452432497814e-11	3.5324453769434726e-11	1.9992798743110957e-11	1.19088317055193e-10	0.999999999804426
n71537	1.3723286195400353e-08	2.2900473727116976e-08	1.2961122211160981e-08	7.720370975102736e-08	0.9999998732114082
16625	0.0	0.0	0.0	0.0	1.0
86284	0.0	0.0	0.0	0.0	1.0
n71546	7.308829274091937e-07	1.2196470319435974e-06	6.902911452343503e-07	4.111761030575406e-06	0.9999932474178648
n71588	8.122057553396285e-06	1.3553529596579063e-05	7.670974652626291e-06	4.569262529434941e-05	0.9999249608129029
n71605	9.82456957973385e-09	1.639456427108085e-08	9.278932551713797e-09	5.527052394467806e-08	0.9999999092314096
114	0.0	0.0	0.0	0.0	1.0
55463	0.0	0.0	0.0	0.0	1.0
76140	0.0	0.0	0.0	0.0	1.0
78420	0.0	0.0	0.0	0.0	1.0
n71623	3.599534352501849e-10	6.006654725087064e-10	3.3996233833326117e-10	2.0250062662290618e-09	0.9999999966744125
73362	0.0	0.0	0.0	0.0	1.0
32213	0.0	0.0	0.0	0.0	1.0
n71633	7.177880780784968e-06	1.1977952503230485e-05	6.779235577560109e-06	4.038092746422051e-05	0.9999336840036742
47772	0.0	0.0	0.0	0.0	1.0
77422	0.0	0.0	0.0	0.0	1.0
61544	0.0	0.0	0.0	0.0	1.0
n71648	4.243536058568803e-23	7.081320365664309e-23	4.0078585172269724e-23	2.3873052089635115e-22	1.0
n71674	6.190743565357265e-05	0.00010330685985205207	5.846921997112306e-05	0.0003482754513442101	0.9994280410331791
37087	0.0	0.0	0.0	0.0	1.0
n71685	1.255803292961781e-06	2.0955979426077443e-06	1.186058479106228e-06	7.064829192784846e-06	0.9999883977110925
n71770	1.9994368180015277e-09	3.33652229267223e-09	1.888392079172595e-09	1.1248321835206351e-08	0.9999999815273269
n71778	3.087576734942543e-05	5.152335154440503e-05	2.9160988722468466e-05	0.00017369919615785928	0.9997147406962259
33300	0.0	0.0	0.0	0.0	1.0
65780	0.0	0.0	0.0	0.0	1.0
45836	0.0	0.0	0.0	0.0	1.0
n71786	2.8829204017556223e-13	4.810818777495306e-13	2.722808744215208e-13	1.62185752569276e-12	0.9999999999973366
17550	0.0	0.0	1.0	0.0	0.0
n70909	3.1795098199858866e-10	5.305746747604942e-10	0.9999999373618739	1.788711171636179e-09	6.000088936451108e-08
79446	0.0	0.0	1.0	0.0	0.0
30137	0.0	0.0	1.0	0.0	0.0
21544	0.0	0.0	1.0	0.0	0.0
647	0.0	0.0	1.0	0.0	0.0
50986	0.0	0.0	1.0	0.0	0.0
64443	0.0	0.0	1.0	0.0	0.0
n70933	3.26236238906025e-10	5.444005401858434e-10	0.9999999357296316	1.8353219148930528e-09	6.156440956480988e-08
n70936	1.2807593098148323e-16	2.1372428227144014e-16	0.9999999999999747	7.2052253817319295e-16	2.416935376884869e-14
22404	0.0	0.0	0.0	0.0	1.0
48226	0.0	0.0	0.0	0.0	1.0
45433	0.0	0.0	0.0	0.0	1.0
47251	0.0	0.0	0.0	0.0	1.0
n71056	8.579220616398087e-06	1.4316411792884937e-05	8.103071726354457e-06	4.826450814531782e-05	0.999920736787719
n71059	0.00011066544666323846	0.00018467086656405796	0.00010451957231392296	0.0006225755917354613	0.9989775685227233
36214	0.0	0.0	0.0	0.0	1.0
12004	0.0	0.0	0.0	0.0	1.0
